,subID,stimset_rows,subtlety,responses,movie,trial_num
5,15055,71,120,"dark dot went up and down, grey dot moved in circular motion",94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,5
3,15056,65,120,the black dot moved up the white dot was moving around the middle,1bc0b0c8-e058-4a68-bdab-65b544a8848d,3
3,15057,68,120,Black dot was copying the grey dot without getting close,987cd79f-7d6a-426b-8983-8bee8675f0ba,3
1,15058,73,120,the grey dot was writing something and the black dot was just moving around,a68cb7dc-2812-45a9-b8f6-862ff43630fb,1
6,15059,74,120,they were chasing each other.,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,6
2,15000,0,150,moving upwards random shapes,5744f837-93bf-4eba-bddf-e630dedf974e,2
4,15001,1,150,"A grey dot moved erratically from right to left, a black dot moved erratically from left to right.",10a07293-2c74-4b8a-bbef-b0f436cde5fb,4
6,15002,2,150,the gray dot was going in a circle while the black dot was going up and down until they started going toward each other,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,6
0,15003,3,150,Grey dot was moving similarly to a snake. Black dot was the same but at a slower pace,18487641-212a-4e1e-8730-31709d721382,0
1,15004,6,150,Black was zigzagging. grey was moving in circles,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,1
2,15005,11,150,"Each dot has its own agenda, they are not aware of each other",4270e833-4dad-483f-85cb-3dee1fccc571,2
6,15006,12,150,One stayed in the middle while the other decided to go towards the bottom of the box,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,6
4,15007,13,150,both individually lost,1247c2a3-9c1a-478d-ad2b-6640715d76a4,4
2,15008,21,150,rolling around,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,2
0,15009,10,150,They were moving in circles far away from each other.,1247c2a3-9c1a-478d-ad2b-6640715d76a4,0
1,15010,17,150,One bouced off the wall,275adee0-f228-423e-816a-e5e70b874bf3,1
0,15011,15,150,"To begin with moving to the bottom left then going in different directions, seemed to be repelled from each other a little at the end",18487641-212a-4e1e-8730-31709d721382,0
5,15012,21,150,Both dots stayed cenrally however the black dot slowly approached the grey dot,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,5
2,15013,14,150,they were playful,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,2
2,15014,16,150,"they looked like they were drawn closer to each other , the grey one pulling closer to the black one but it looked as if a force was bouncing the grey one off the black dot ",5744f837-93bf-4eba-bddf-e630dedf974e,2
1,15015,23,150,gray following black black moving away from gray,4270e833-4dad-483f-85cb-3dee1fccc571,1
2,15016,25,150,The dots are moving away from each other,10a07293-2c74-4b8a-bbef-b0f436cde5fb,2
5,15017,19,150,the two dots seem to each be taking a side of the same picture to draw.,10a07293-2c74-4b8a-bbef-b0f436cde5fb,5
