stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
ebb2b54b-03ef-482e-98e6-c30b11e93f54,chase,90,100.0,2.651,1,309,75
2667cf6b-8ba8-4919-a871-ecd9b2852bce,chase,120,0.0,2.708,1,309,76
981221b7-2aa0-476c-b101-390d6cc3dd1a,chase,120,0.0,3.092,1,309,77
f8c01499-8009-448b-9476-a38a582d3db6,chase,150,0.0,2.634,1,309,78
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,0.0,2.189,1,309,79
4fb58057-109b-400f-8b1d-d9afc6926a6c,chase,60,100.0,2.242,1,309,80
67a027b6-67e1-4784-aaad-ab48b5731cca,chase,0,100.0,2.159,1,309,81
f1ea4cb7-98d0-45a4-8269-16f1aebf05e3,chase,30,100.0,2.722,1,309,82
cf6ad30a-98ab-45d8-98d9-92352096afee,chase,30,100.0,2.733,1,309,83
e5de8a7b-b080-44aa-9279-c42f7862e210,chase,0,100.0,2.939,1,301,0
7d329546-ecf4-4612-8f00-c127c77d5d6c,chase,60,100.0,3.645,1,301,1
116d4cf9-2d22-4e06-8fbf-248789f8212c,chase,150,0.0,3.41,1,301,2
b75e278a-0fbd-474b-92b0-7038934dda4b,chase,30,100.0,3.199,1,301,3
7ef8daac-db75-4ee8-a071-f88ace7368fa,chase,60,100.0,3.074,1,301,4
a763322d-d8ef-4998-b3d2-05767e0273f2,chase,150,0.0,3.259,1,301,5
0ea90462-f5e2-47a7-bd4b-2ea1c0bb7293,chase,60,100.0,2.863,1,301,6
7da2bf99-2525-456c-889d-33e4d57cefac,chase,150,38.0,3.63,1,301,7
bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,100.0,3.061,1,301,8
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,80.0,3.117,1,301,9
2437aa32-b54d-48e7-b20d-fafb63156eb0,chase,0,100.0,2.775,1,301,10
f1ea4cb7-98d0-45a4-8269-16f1aebf05e3,chase,30,100.0,4.107,1,301,11
1a3da098-0a3a-43af-af4a-a9fad5adcce6,chase,90,95.0,3.048,1,301,12
cf6ad30a-98ab-45d8-98d9-92352096afee,chase,30,100.0,2.85,1,301,13
4f1db8f7-63a7-4e49-b31b-12adcf107bf0,chase,150,0.0,4.434,1,301,14
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,0.0,3.695,1,301,15
64e6dcf6-35e5-46ef-8d1c-80a6786a24f6,chase,90,100.0,3.048,1,301,16
981221b7-2aa0-476c-b101-390d6cc3dd1a,chase,120,30.0,3.521,1,301,17
67a027b6-67e1-4784-aaad-ab48b5731cca,chase,0,100.0,3.488,1,301,18
c40a4196-baf2-4992-afe5-aeca6b69a170,chase,30,100.0,3.184,1,301,19
884bc951-67a6-42bd-8ea7-ece0c8745d3f,chase,0,100.0,2.775,1,301,20
46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,5.0,4.817,0,301,21
65c87d60-ca32-4b8c-862c-41cd8e585b4b,chase,0,100.0,2.931,1,301,22
c1b6f573-136b-414a-a6ec-8628f66a51e1,chase,150,0.0,3.985,1,301,23
398e7f33-6d63-47e3-9a9a-74e474cd8a1d,chase,30,100.0,2.819,1,301,24
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,28.0,3.118,1,301,25
7f76ce9f-1463-4e78-87a4-6a54cd80ee88,chase,90,85.0,3.006,1,301,26
ae7d3eb8-dc5d-447b-b5c5-9b30fb3b8314,chase,60,100.0,2.644,1,301,27
cd9d4d31-b57e-4c3d-86c6-267ce9eec948,chase,60,100.0,2.803,1,301,28
64673dfa-0706-4fb2-a297-b988740292d5,chase,90,87.0,3.017,1,301,29
9d561139-a905-406b-83a0-38ea62293ed9,chase,90,68.0,2.729,1,301,30
b3b1ce6f-50f4-4922-80d2-b53f06819db2,chase,120,96.0,3.091,1,301,31
738dba2c-d7cb-488e-b971-0dc50c74bf4b,chase,30,100.0,2.756,1,301,32
2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,100.0,2.813,1,301,33
184c8795-2f00-4c7d-bc10-bd7de3066a20,chase,60,87.0,3.554,1,301,34
0ea38b84-b2dc-4072-b4b8-3dce5f53debc,chase,120,18.0,3.473,1,301,35
496c052f-24cd-4731-b1a3-dc6a8076719b,chase,120,59.0,3.036,1,301,36
18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,4.0,3.849,1,301,37
58ff2cb6-e661-4be4-945c-d3f9ab5180c6,chase,150,68.0,2.727,1,301,38
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,4.0,3.316,0,301,39
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,0.0,2.578,0,301,40
4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,91.0,2.955,1,301,41
12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,22.0,2.953,1,301,42
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,0.0,3.854,1,301,43
86edbcec-0b0a-41d9-9c9e-d5df43732237,chase,30,100.0,2.933,1,301,44
