,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
93,15,60,72.33333333333333,4.506,0.5833333333333334,43.25,53.5,18.83333333333333,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
94,15,90,67.08333333333333,5.343833333333333,0.75,31.583333333333332,53.5,13.583333333333329,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
95,15,120,62.083333333333336,4.68775,0.8333333333333334,35.0,53.5,8.583333333333336,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
96,15,150,52.5,5.705333333333333,0.5833333333333334,40.5,53.5,-1.0,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
97,15,180,53.5,4.60325,0.6666666666666666,35.916666666666664,53.5,0.0,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
98,16,0,91.08333333333333,6.030333333333334,1.0,54.666666666666664,37.5,53.58333333333333,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
99,16,30,86.16666666666667,5.721416666666666,1.0,31.083333333333332,37.5,48.66666666666667,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
100,16,60,83.45454545454545,6.410666666666667,0.9166666666666666,45.583333333333336,37.5,45.95454545454545,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
101,16,90,71.66666666666667,5.839833333333334,0.9166666666666666,44.166666666666664,37.5,34.16666666666667,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
102,16,120,47.416666666666664,6.306166666666667,0.5833333333333334,53.666666666666664,37.5,9.916666666666664,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
103,16,150,53.083333333333336,6.3065,0.5,30.916666666666668,37.5,15.583333333333336,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
104,16,180,37.5,6.331333333333333,0.4166666666666667,30.416666666666668,37.5,0.0,20.0,18.0,9.0,15.0,12.0,36.0,10.0,29.0,37.0,33.0,41.0,50.0,49.0,4.0
105,17,0,72.75,2.8623333333333334,1.0,32.916666666666664,43.083333333333336,29.666666666666664,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
106,17,30,72.75,2.7311666666666667,0.9166666666666666,39.5,43.083333333333336,29.666666666666664,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
107,17,60,74.0,2.3958333333333335,1.0,51.25,43.083333333333336,30.916666666666664,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
108,17,90,60.25,2.5711666666666666,0.9166666666666666,34.75,43.083333333333336,17.166666666666664,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
109,17,120,47.166666666666664,2.889583333333333,0.8333333333333334,44.333333333333336,43.083333333333336,4.083333333333329,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
110,17,150,37.833333333333336,3.7413333333333334,0.5833333333333334,34.666666666666664,43.083333333333336,-5.25,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
111,17,180,43.083333333333336,3.0284999999999997,0.3333333333333333,53.083333333333336,43.083333333333336,0.0,14.0,17.0,12.0,16.0,15.0,28.0,16.0,41.0,40.0,36.0,41.0,43.0,50.0,4.0
112,18,0,88.58333333333333,2.97275,1.0,23.166666666666668,29.083333333333332,59.5,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
113,18,30,86.0,3.1924166666666665,1.0,42.25,29.083333333333332,56.91666666666667,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
114,18,60,86.75,3.0061666666666667,1.0,43.666666666666664,29.083333333333332,57.66666666666667,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
115,18,90,69.33333333333333,2.8464166666666664,1.0,56.583333333333336,29.083333333333332,40.25,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
116,18,120,36.916666666666664,2.889,0.5833333333333334,38.166666666666664,29.083333333333332,7.833333333333332,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
117,18,150,30.0,3.1671666666666667,0.5833333333333334,36.5,29.083333333333332,0.9166666666666679,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
118,18,180,29.083333333333332,2.574333333333333,0.3333333333333333,50.166666666666664,29.083333333333332,0.0,16.0,15.0,9.0,5.0,13.0,12.0,1.0,28.0,36.0,33.0,41.0,43.0,34.0,2.0
119,19,0,94.33333333333333,3.2241666666666666,1.0,37.25,7.666666666666667,86.66666666666666,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
120,19,30,92.5,3.1765000000000003,1.0,39.0,7.666666666666667,84.83333333333333,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
121,19,60,89.0,3.2285833333333334,1.0,38.416666666666664,7.666666666666667,81.33333333333333,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
122,19,90,61.083333333333336,3.5789166666666667,1.0,41.166666666666664,7.666666666666667,53.41666666666667,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
123,19,120,28.833333333333332,3.2207500000000002,1.0,45.0,7.666666666666667,21.166666666666664,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
124,19,150,22.333333333333332,3.9500833333333336,0.5833333333333334,41.583333333333336,7.666666666666667,14.666666666666664,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
125,19,180,7.666666666666667,3.6459166666666665,0.4166666666666667,48.083333333333336,7.666666666666667,0.0,10.0,18.0,8.0,14.0,7.0,24.0,1.0,17.0,37.0,48.0,45.0,43.0,30.0,3.0
