,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
101,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,black,11.0,grey,2.284,0,2,17,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
102,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,0.0,grey,4.646,0,2,18,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
103,8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,100.0,black,3.183,1,2,19,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
104,c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,84.0,black,5.289,1,2,20,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
105,57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,100.0,grey,2.91,1,2,21,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
106,6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,23.0,grey,3.382,0,2,22,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
107,07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,100.0,grey,2.804,1,2,23,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
108,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,67.0,grey,3.069,1,2,24,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
109,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,2.856,1,2,25,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
110,06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,88.0,grey,2.786,1,2,26,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
111,275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,9.0,grey,3.185,1,2,27,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
112,18487641-212a-4e1e-8730-31709d721382,chase,150,grey,39.0,black,2.389,0,2,28,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
113,ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,49.0,grey,2.085,1,2,29,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
114,0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,3.067,1,2,30,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
115,c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,2.253,1,2,31,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
116,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,81.0,grey,2.201,1,2,32,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
117,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,66.0,black,2.548,1,2,33,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
118,1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,41.0,grey,4.132,1,2,34,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
