,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
1,15012,21,120,0.33,The black dot moved in an erratic way to the right where as the grey dot wavered about the right side of the box,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,1,0.11549624055624008,0.11689206957817078,-0.0013958290219306946
4,15013,14,120,0.33,Both dots were playing,a68cb7dc-2812-45a9-b8f6-862ff43630fb,4,0.31955987215042114,0.13882336020469666,0.1807365119457245
0,15014,16,120,0.33,moving around but slightly closer and closer with each move towards each other while going downward ,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,0,0.20734204351902008,0.4101105034351349,-0.2027684599161148
0,15015,23,120,0.33,black dot moving left gray dot moving right,6480385b-e9eb-45a9-88e3-aade6c90476d,0,0.14515383541584015,0.2587832510471344,-0.11362941563129425
1,15016,25,120,0.33,The dots a moving up and down on different sides of the screen,1bc0b0c8-e058-4a68-bdab-65b544a8848d,1,0.08953027427196503,0.1277845948934555,-0.03825432062149048
3,15017,19,120,0.33,"I mostly saw what the black dot was doing, and I think it was writing or drawing: its movements seemed precise.",7da9ad01-3df5-45e9-8edf-4af0795536e1,3,0.13968640565872192,0.07639821618795395,0.06328818947076797
3,15018,20,120,0.33,BOTH DOTS MOVING TO THR BOTTOM OF THE SCREEN,987cd79f-7d6a-426b-8983-8bee8675f0ba,3,0.07700259983539581,0.18910235166549683,-0.11209975183010101
6,15019,26,120,0.33,"the grey dot did small movements, the black dot did big ones",9996b324-9da6-4bd7-a5d5-305513d257ce,6,0.13274283707141876,0.17686617374420166,-0.0441233366727829
4,15020,23,120,0.33,Circular motions before moving direction,6480385b-e9eb-45a9-88e3-aade6c90476d,4,0.19397905468940735,0.2847041189670563,-0.09072506427764893
0,15021,28,120,0.33,moving around the screen,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,0,0.14564110338687897,0.4379795789718628,-0.2923384755849838
2,15022,32,120,0.33,The dots were moving on the screen,a68cb7dc-2812-45a9-b8f6-862ff43630fb,2,0.19726338982582092,0.15581974387168884,0.04144364595413208
3,15023,31,120,0.33,The black dot moved up and down. The gray dot went in a little bit of a circle and then down.,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,3,0.09525679051876068,0.09833990782499313,-0.0030831173062324524
1,15024,34,120,0.33,The dots approached each other but the gray dot retreated,987cd79f-7d6a-426b-8983-8bee8675f0ba,1,0.2262982279062271,0.14867225289344788,0.07762597501277924
4,15025,37,120,0.33,both dots moved inwards and slightly down,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,4,0.11187822371721268,0.2287103533744812,-0.11683212965726852
4,15026,27,120,0.33,"the grey dot was moving at a slow pace, the black dot was moving faster and seemed to be gradually moving closer to the grey dot",87b8564c-7590-4001-b1e8-6f26c4e4bf8a,4,0.21629726886749268,0.22689636051654816,-0.010599091649055481
