,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,similarity_playing,similarity_fighting,similarity_fight_play
4,24075,46,2.75,swinging ,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,4,0.4605644941329956,0.38996419310569763,-0.07060030102729797
3,24076,36,2.75,bump run around and play,4a2adf87-0f15-4bc0-9837-899addfb179c,3,0.5129407644271851,0.22133119404315948,-0.2916095703840256
1,24077,24,2.75,bouncing ,8fa1d226-bf98-4c72-8961-7121546d4a11,1,0.41099509596824646,0.34041696786880493,-0.07057812809944153
2,24078,30,2.75,Playing mostly independantly,215ead11-5650-429d-b541-0b107fbb996a,2,0.6270672082901001,0.3232637941837311,-0.303803414106369
5,24079,38,2.75,Hugging,112b96b3-6518-4053-ad9f-ff77320acc23,5,0.2686764895915985,0.4343211054801941,0.16564461588859558
3,24080,37,2.75,Perhaps playing a game,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,3,0.7079014778137207,0.3501695692539215,-0.3577319085597992
1,24081,1,2.75,going around in a circle touching for a short time,8fa1d226-bf98-4c72-8961-7121546d4a11,1,0.16927750408649445,0.10591811686754227,-0.06335938721895218
6,24082,93,2.75,Chasing ,0bad25fa-4a38-4561-9d35-56f1108797cd,6,0.4900258779525757,0.3591281473636627,-0.13089773058891296
2,24083,7,2.75,Walking around before 1 dot would start moving to a centre point with the other dot reacting and trying to beat the first dot to the centre,32110051-52cf-4952-a6e5-4c5fe75760b7,2,0.20965586602687836,0.13638761639595032,-0.07326824963092804
0,24084,47,2.75,playing tag,8dc79a0d-b826-4ac2-8483-04346b06960d,0,0.6409550309181213,0.271896630525589,-0.36905840039253235
0,24085,32,2.75,playing catch,46c1720a-0af5-44e9-b008-09b89ef78bd9,0,0.6071312427520752,0.27450284361839294,-0.33262839913368225
2,24086,69,2.75,Running,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,2,0.5148481130599976,0.4141086935997009,-0.10073941946029663
