,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
41,30006,1,0.0,,100.0,black,black,,2393.0,49e5ac90-6e7f-4243-9552-8c4c10545895,41,12174,1.0,,1.0,,
56,30006,1,90.0,,24.0,black,black,,2767.0,68c0fec8-cf83-48bf-8079-a5f414fe7504,56,12548,0.5,,1.0,,
57,30006,1,0.0,,100.0,black,black,,3000.0,bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,57,11783,1.0,,1.0,,
58,30006,1,30.0,,100.0,grey,grey,,2721.0,0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,58,11753,0.8333333333333334,,1.0,,
59,30006,1,150.0,,1.0,grey,grey,,2748.0,10a07293-2c74-4b8a-bbef-b0f436cde5fb,59,11476,0.16666666666666666,,1.0,,
60,30006,1,60.0,,99.0,grey,grey,,2355.0,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,60,11161,0.6666666666666666,,1.0,,
61,30006,1,150.0,,3.0,grey,black,,2341.0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,61,11434,0.16666666666666666,,0.0,,
62,30006,1,0.0,,99.0,grey,grey,,2344.0,72e764e1-0b34-4efd-96db-5df7934b2395,62,11564,1.0,,1.0,,
63,30006,1,180.0,,1.0,grey,grey,,2393.0,2cf66fb7-ab1d-466b-be40-d9f856dc213f,63,11823,0.0,,1.0,,
64,30006,1,90.0,,84.0,black,black,,2642.0,1d4805c2-68cf-415b-af2f-f7c0564b59aa,64,12310,0.5,,1.0,,
65,30006,1,180.0,,0.0,grey,black,,2850.0,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,65,12931,0.0,,0.0,,
66,30006,1,30.0,,100.0,grey,grey,,2018.0,9093ecfa-6a76-4110-b88c-dd9330281781,66,10444,0.8333333333333334,,1.0,,
67,30006,1,180.0,,3.0,black,black,,2358.0,1c695094-312c-450a-ac7f-f994dabb958d,67,12884,0.0,,1.0,,
68,30006,1,30.0,,100.0,grey,grey,,3613.0,c6499c88-e947-4ab5-8cde-3013da4d084f,68,11627,0.8333333333333334,,1.0,,
69,30006,1,120.0,,0.0,black,black,,2730.0,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,69,12820,0.3333333333333333,,1.0,,
0,30008,1,60.0,,77.0,grey,grey,,5069.0,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,0,5779,0.6666666666666666,,1.0,,
1,30008,1,150.0,,26.0,black,black,,6561.0,4cd79935-2124-4c73-9bff-ce0554f08119,1,5694,0.16666666666666666,,1.0,,
2,30008,1,60.0,,51.0,black,black,,2839.0,35fbacfe-f7fd-45d5-9266-5f6631809d11,2,5693,0.6666666666666666,,1.0,,
3,30008,1,0.0,,82.0,black,black,,1933.0,c188e383-94d7-475e-9da5-6d1f0a1184bb,3,5671,1.0,,1.0,,
4,30008,1,90.0,,79.0,grey,grey,,2502.0,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,4,5681,0.5,,1.0,,
5,30008,1,90.0,,86.0,black,black,,2347.0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,5,5679,0.5,,1.0,,
6,30008,1,30.0,,87.0,grey,grey,,2959.0,0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,6,5662,0.8333333333333334,,1.0,,
7,30008,1,180.0,,18.0,black,black,,6686.0,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,7,5717,0.0,,1.0,,
8,30008,1,90.0,,84.0,black,black,,3947.0,16088d09-c11d-4b03-8c77-f92a33554c1e,8,5667,0.5,,1.0,,
9,30008,1,120.0,,16.0,grey,grey,,3649.0,9996b324-9da6-4bd7-a5d5-305513d257ce,9,5665,0.3333333333333333,,1.0,,
10,30008,1,90.0,,81.0,grey,grey,,2284.0,ceedd529-39a5-4c29-8103-d6ac89521de6,10,5663,0.5,,1.0,,
11,30008,1,30.0,,86.0,grey,grey,,3092.0,0a730462-ba50-4dbe-97c6-911f61a40346,11,5678,0.8333333333333334,,1.0,,
12,30008,1,150.0,,23.0,black,black,,2186.0,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,12,5688,0.16666666666666666,,1.0,,
13,30008,1,150.0,,78.0,grey,grey,,2123.0,9c46112a-3307-42b7-8386-bdf38ba679af,13,5707,0.16666666666666666,,1.0,,
